support,user,created_at
yes,SenatoriPD,2016-11-27T15:00
yes,danielecina,2016-12-01T20:00
no,LelloEsposito5,2016-11-26T21:00
yes,SenatoriPD,2016-12-01T16:00
yes,AntoDiMario,2016-11-29T21:00
yes,antgentile,2016-12-01T22:00
yes,danieledvpd,2016-11-28T14:00
yes,MarcoMariani_IT,2016-12-01T15:00
yes,danielecina,2016-11-30T09:00
no,social_5stars,2016-12-01T09:00
no,LeolucaOrlando1,2016-11-30T22:00
yes,Deputatipd,2016-12-02T13:00
no,gasparripdl,2016-12-01T01:00
no,lega_nord,2016-12-02T10:00
yes,danieledvpd,2016-12-01T20:00
yes,Deputatipd,2016-11-28T12:00
yes,danieledvpd,2016-11-28T22:00
no,ManlioDS,2016-11-30T13:00
yes,SenatoriPD,2016-11-30T17:00
no,iovotono,2016-12-02T07:00
no,lega_nord,2016-12-01T17:00
no,giulianocossari,2016-12-01T15:00
no,senantoniorazzi,2016-11-27T23:00
no,GiuliaDiVita,2016-12-02T10:00
no,tatianabasilio1,2016-11-27T02:00
no,renatapolverini,2016-12-02T10:00
no,LegaNordPadania,2016-11-26T15:00
yes,danieledvpd,2016-11-29T20:00
yes,ivanscalfarotto,2016-11-26T20:00
yes,AntonellaGramig,2016-11-28T22:00
yes,LuigiBrugnaro,2016-11-28T15:00
no,renatobrunetta,2016-11-28T12:00
yes,stefaniapezzopa,2016-11-28T14:00
no,iovotono,2016-12-02T07:00
yes,danieledvpd,2016-12-01T20:00
yes,Deputatipd,2016-12-02T13:00
no,civati,2016-12-01T11:00
yes,MarcoMariani_IT,2016-11-30T00:00
no,lucatelese,2016-11-29T12:00
yes,SenatoriPD,2016-12-01T16:00
yes,stefaniapezzopa,2016-12-02T00:00
yes,danieledvpd,2016-12-01T20:00
yes,MarinaSereni,2016-12-01T08:00
no,forza_italia,2016-12-01T12:00
yes,AntonellaGramig,2016-12-02T10:00
yes,GiuseppeGuerin1,2016-11-26T20:00
yes,fnicodemo,2016-12-02T08:00
no,forza_italia,2016-11-30T17:00
no,lega_nord,2016-11-28T12:00
yes,AntoDiMario,2016-12-02T08:00
yes,CarloSantaroni,2016-11-27T15:00
no,civati,2016-11-30T18:00
yes,StefanoCeccanti,2016-11-28T17:00
yes,stefaniapezzopa,2016-11-27T17:00
no,forza_italia,2016-11-29T10:00
no,iovotono,2016-12-02T07:00
yes,MarcoMariani_IT,2016-12-01T15:00
no,GiuliaDiVita,2016-12-02T12:00
yes,danieledvpd,2016-12-02T06:00
yes,SenatoriPD,2016-12-01T17:00
no,LelloEsposito5,2016-11-29T11:00
no,Storace,2016-12-02T08:00
no,lega_nord,2016-11-27T13:00
yes,Deputatipd,2016-11-27T15:00
no,iovotono,2016-11-27T13:00
no,Maxdero,2016-11-26T18:00
yes,danielecina,2016-12-01T00:00
no,LelloEsposito5,2016-11-26T22:00
yes,AntonellaGramig,2016-12-02T10:00
yes,Deputatipd,2016-11-30T11:00
no,lega_nord,2016-12-01T10:00
yes,AndreaOrlandosp,2016-12-02T13:00
yes,danielecina,2016-11-28T14:00
yes,danieledvpd,2016-11-28T22:00
no,Storace,2016-12-02T08:00
yes,boccadutri,2016-12-01T22:00
yes,danieledvpd,2016-11-29T20:00
no,lega_nord,2016-12-01T10:00
no,FratellidItaIia,2016-11-30T11:00
yes,LuigiBrugnaro,2016-12-01T08:00
yes,pdcampania,2016-11-28T22:00
no,iovotono,2016-12-01T13:00
yes,danieledvpd,2016-12-02T06:00
no,guglielmopicchi,2016-11-29T10:00
no,lega_nord,2016-12-01T10:00
yes,SteAlbamonte,2016-11-28T13:00
yes,antgentile,2016-11-27T15:00
no,AntoLari1986,2016-12-01T18:00
no,lega_nord,2016-11-29T15:00
yes,danieledvpd,2016-11-29T20:00
yes,stefaniapezzopa,2016-11-29T14:00
no,LegaNordPadania,2016-11-27T13:00
no,LegaNordPadania,2016-11-27T13:00
yes,AntoDiMario,2016-11-29T21:00
yes,LuigiBrugnaro,2016-12-01T10:00
yes,danieledvpd,2016-11-28T22:00
