user,kpp_score
guevaraetotti,4859.0
coledoni,4859.0
jacopo_iacoboni,4859.0
tildeblonde,4859.0
vigliottienzo1,4859.0
MaurizioNastasi,4859.0
chiara_meazza,4859.0
galluccio,4859.0
p_episcopo,4859.0
ivanovillani1,4859.0
FrancoBassanini,4859.0
MagdaCulotta,4859.0
Hellzapoppin80,4859.0
PLCastagnetti,4859.0
VallEtrusca,4859.0
igiabas,4859.0
ECostagli,4859.0
danieleviotti,4859.0
Zoodi105,4859.0
marioafrica,4859.0
comitatoart26,4859.0
monicaguerzoni,4859.0
mario_ciliberti,4859.0
simonavitelli60,4859.0
MonycaMarini,4859.0
gabrieligm,4859.0
NomosCSP,4859.0
giorgiosantilli,4859.0
nunziarusso4,4859.0
mirianagrassi1,4859.0
Mperadotto,4859.0
Bastaunsi_UK,4859.0
gioicaro,4859.0
webgol,4859.0
paolomadron,4859.0
megmalp,4859.0
siperilsud1,4859.0
summa57,4859.0
MatrixCanale5,4859.0
e_terranova,4859.0
martamacbeal,4859.0
CislNazionale,4859.0
FrancescoBonif1,4859.0
asocialesempre,4859.0
claudiovelardi,4859.0
bel_she_ari_,4859.0
ilpoetaestinto,4859.0
babi_lolita,4859.0
RobRe62,4859.0
aldoceccarelli,4859.0
matteobordone,4859.0
gianpierodalia,4859.0
circeanna,4859.0
rugaskipper,4859.0
Brunomgiordano,4859.0
la_dante,4859.0
Marco_Pastorino,4859.0
rusembitaly,4859.0
InnovateEurope,4859.0
alvariis,4859.0
swamilee,4859.0
DanielaEster5,4859.0
giorgiobenvenut,4859.0
chiocchetti_mau,4859.0
Hartmann_TWT,4859.0
ElisabScalambra,4859.0
lo_zio_gino,4859.0
mariomaffei73,4859.0
marco_moggio,4859.0
chiccotesta,4859.0
labellifranco,4859.0
l_lanzillotta,4859.0
DipPoliticheUE,4859.0
RedPostorino,4859.0
bestiucci,4859.0
martinorosario2,4859.0
renatabriano,4859.0
timoteocarpita,4859.0
stefaniapezzopa,4859.0
arica72,4859.0
MaurizioCulicc1,4859.0
EnzaAltieri,4859.0
AdriSantacroce,4859.0
alisabn,4859.0
maebort,4859.0
dDinoPirri,4859.0
santilligia,4859.0
con_putin,4859.0
psiscogaia18,4859.0
titti_disalvo,4859.0
EdiGirolami,4859.0
SM_Difesa,4859.0
RaiScuola,4859.0
fabiochiusi,4859.0
FranceCasini,4859.0
PremiumSportHD,4859.0
paolapeduzzi,4859.0
titofaraci,4859.0
Dr_CiroAmendola,4859.0
gloquenzi,4859.0
redcapret,4859.0
radiopopmilano,4859.0
cicalaroberto,4859.0
68kikka,4859.0
ClementiF,4859.0
sudsoundsystem,4859.0
albeggiava52,4859.0
PAsproni,4859.0
AndreaManciulli,4859.0
laramps,4859.0
ronaldinarina,4859.0
antoniodb69,4859.0
BentivogliMarco,4859.0
paolodecastro,4859.0
giorgiomeletti,4859.0
ALBERTINIGabry,4859.0
RCapaccioli,4859.0
piergiuseppe2,4859.0
LorenziTania,4859.0
inputpagi,4859.0
BGrisafi,4859.0
iltirreno,4859.0
paoladelusa,4859.0
cozzolino62,4859.0
TaniuzzaCalabra,4859.0
AS3691,4859.0
FedericoTaddia,4859.0
RobertoReggi,4859.0
RaffaelePizzati,4859.0
redne2013,4859.0
carutig,4859.0
NosapaiD,4859.0
peregopaola,4859.0
paolocalvano,4859.0
buffadimitri,4859.0
giotoni,4859.0
AvvScarnera,4859.0
rosariocrocetta,4859.0
matteodipaolo89,4859.0
il_pucciarelli,4859.0
sonolucadini,4859.0
MarcoPiantini,4859.0
LapoCalissi,4859.0
_MagliaNera_,4859.0
paola_demicheli,4859.0
vanabeau,4859.0
angelo_menel,4859.0
angelinascanu,4859.0
Remeggiare,4859.0
andlazz,4859.0
michelefina,4859.0
paolacaloo,4859.0
rcociancich,4859.0
SimoneAlliva,4859.0
ghigorino,4859.0
Vandabio,4859.0
profeta1981,4859.0
scaranovinc,4859.0
RedattoreSocial,4859.0
MarcoPizzi14,4859.0
erFabius,4859.0
DonneViola,4859.0
PrestaLucio,4859.0
MinLavoro,4859.0
MicK_ele,4859.0
Svn_16,4859.0
iltoscano65,4859.0
_sofino,4859.0
vrwestperrenzi,4859.0
omykamal,4859.0
FiorenzaTarenzi,4859.0
grotondo1,4859.0
GianlucaFicco76,4859.0
wirko94,4859.0
Barracciu,4859.0
RFURESI,4859.0
robertobasso,4859.0
Casti_F,4859.0
Rome2017EU,4859.0
lackyliu,4859.0
asstartaglione,4859.0
ValentinaPetrin,4859.0
MAFlumero,4859.0
micaela_campana,4859.0
FrancoCallegar1,4859.0
distefanonova,4859.0
francescoge07,4859.0
pistelligoffr,4859.0
fareprogressi,4859.0
FaustoDeMaria,4859.0
MarioRigoni2,4859.0
vincenzofolino,4859.0
Stillwaters__,4859.0
AlessandraSerr1,4859.0
rampi,4859.0
RegioneLazio,4859.0
marcocappato,4859.0
PPBaretta,4859.0
CorriereSociale,4859.0
olivieripennesi,4859.0
CarlaSicuro1,4859.0
GiuliaTempesta,4859.0
disinformatico,2426.0
ASI_spazio,2426.0
sputnik_italia,2425.0
